Channel,Improvement_Factor,Improvement_Mean,Improvement_Std,P_Value,Significant,Effect_Size,N_Runs
C1,1.5x,2.72%,5.48%,0.1529,No,0.044,10
C1,2.0x,3.56%,7.55%,0.0922,No,0.053,10
C2,1.5x,55.95%,13.27%,0.0000,Yes,1.060,10
C2,2.0x,81.38%,15.86%,0.0000,Yes,2.454,10
C3,1.5x,4.94%,8.96%,0.0216,Yes,0.072,10
C3,2.0x,4.61%,10.34%,0.0354,Yes,0.066,10
C4,1.5x,62.08%,9.02%,0.0000,Yes,0.633,10
C4,2.0x,98.01%,20.64%,0.0000,Yes,0.869,10
