Schema Entropy (bits),Accuracy (dim=64),Recall (dim=64),Bound (dim=64),Accuracy (dim=128),Recall (dim=128),Bound (dim=128),Accuracy (dim=256),Recall (dim=256),Bound (dim=256),Accuracy (dim=512),Recall (dim=512),Bound (dim=512),Accuracy (dim=1024),Recall (dim=1024),Bound (dim=1024)
2.0,0.3722,0.9400,2.0000,0.3722,0.9400,2.0000,0.3722,0.9400,2.0000,0.3722,0.9400,2.0000,0.3722,0.9400,2.0000
4.0,0.2044,0.6083,4.0000,0.2764,0.6883,4.0000,0.2683,0.7050,4.0000,0.2528,0.6483,4.0000,0.2467,0.6450,4.0000
6.0,0.2196,0.5150,6.0000,0.1692,0.4617,6.0000,0.2221,0.4883,6.0000,0.2278,0.5617,6.0000,0.2198,0.5117,6.0000
8.0,0.1729,0.4450,6.0000,0.1644,0.4233,7.0000,0.1721,0.4067,8.0000,0.1617,0.3767,8.0000,0.1204,0.2850,8.0000
10.0,0.0802,0.2133,6.0000,0.1077,0.2333,7.0000,0.1196,0.2883,8.0000,0.1278,0.2967,9.0000,0.1311,0.3083,10.0000
