Channel,Error 0.1,Error 0.2,Error 0.3
C₁,-0.0305,-0.1096,-0.1256
C₂,0.0684,0.1798,0.2546
C₃,0.0004,-0.0004,-0.0017
C₄,0.0423,0.0850,0.1302
